Title,Year,Genre
Resident Evil,2002,Horror
From Dusk Til Dawn,1996,Horror
Carrie,1976,Horror
Scream,1996,Horror
Sinners,2025,Horror
Blade,1998,Horror
Alien,1979,Horror
Kill Bill,2003,Action
Bullet Train,2022,Action
Drive,2011,Action
American Ultra,2015,Action
Point Break,1991,Action
Total Recall,1990,Action
The Fifth Element,1997,Action
21 Jump Street,2012,Comedy
Nacho Libre,2006,Comedy
Napoleon Dynamite,2004,Comedy
Zoolander,2001,Comedy
Pitch Perfect,2012,Comedy
Superbad,2007,Comedy
Waynes World,1992,Comedy
A New Hope,1997,Sci Fi
Blade Runner,1982,Sci Fi
The Matrix,1999,Sci Fi
Rogue One,2016,Sci Fi
The Empire Strikes Back,1980,Sci Fi
Interstellar,2014,Sci Fi
Ghostbusters,1984,Sci Fi
27 Dresses,2008,Romance
About Time,2013,Romance
Drive Me Crazy,1999,Romance
Silver Linings Playbook,2012,Romance
13 Going on 30,2004,Romance
How to Lose a Guy in 10 Days,2003,Romance
La La Land,2016,Romance
Get Out,2017,Thriller
Fight Club,1999,Thriller
Zodiac,2007,Thriller
The Departed,2006,Thriller
Twelve Monkeys,1995,Thriller
Se7en,1995,Thriller
Memento,2000,Thriller
War Dogs,2016,Crime
Leon: The Professional,1994,Crime
Snatch,2000,Crime
Layer Cake,2004,Crime
Uncut Gems,2019,Crime
Fargo,1996,Crime
GoodFellas,1990,Crime
The Incredibles,2004,Animated
Open Season,2006,Animated
Over the Hedge,2006,Animated
The Lego Batman Movie,2017,Animated
WALL-E,2008,Animated
Ice Age,2002,Animated
Megamind,2010,Animated



